exercise,sets,reps,rir,rest,category,workout,weeks
3. Leg Press,1,6 to 8,4 to 6,4 min,Quads / Glutes (Leg Press),Lower A,6
4. Heel Elevated Dumbbell Split Squat,2,8 to 12,4 to 6,3 min,Legs (Lunge variation),Lower A,6
5. Seated Calf Raise,2,8 to 12,4 to 6,2 min,Calves,Lower A,6
6. Weighted Crunch,2,8 to 12,4 to 6,2 min,Core (Upper Abs),Lower A,6
,,,,,,,
1. Flat DB Press,3,6 to 8,4 to 6,3 min,Chest (flat press),Push,6
2. Incline Chest Press Machine,3,8 to 12,4 to 6,3 min,Chest (Incline Press),Push,6
3. Chest Fly Machine,4,8 to 12,4 to 6,3 min,Chest (Fly),Push,6
4. Single Arm Cable Lateral,4,6 to 8,4 to 6,3 min,Shoulder (Medial Delt),Push,6
5. Cross Cable Tricep Pushdown,4,10 to 15,4 to 6,2 min,Tricep,Push,6
,,,,,,,
1. Underhand High Row Machine,2,8 to 12,4 to 6,3 min,Back (High Row),Pull,6
2. Chest Supported Upper Back Row,2,8 to 12,4 to 6,3 min,Back (Upper Back Row),Pull,6
3. Single Arm DB Row,1,6 to 8,4 to 6,3 min,Back (Lats Row),Pull,6
4. Cable Rear Delt,3,8 to 12,4 to 6,2 min,Shoulder (Rear Delt),Pull,6
5. Incline DB Curls,3,8 to 12,4 to 6,2 min,Biceps,Pull,6
,,,,,,,
,,,,,,,
1. Seated hamstring curl,2,8 to 12,4 to 6,3 min,Hamstring (Curl),Lower B,6
2. Barbell RDL,1,6 to 8,4 to 6,4 min,Hamstrings / Glutes (Hamstrings legnthened),Lower B,6
3. Feet Wide and High Leg Press,1,6 to 8,4 to 6,3 min,Quads / Glutes (Leg Press),Lower B,6
4. Walking lunges,2,8 to 12,4 to 6,3 min,Legs (Lunge variation),Lower B,6
5. Seated Calf Raise,2,8 to 12,4 to 6,2 min,Calves,Lower B,6
6. Weighted Crunch,2,8 to 12,4 to 6,2 min,Core (Upper Abs),Lower B,6
,,,,,,,
1. Wide grip lat pulldown,2,8 to 12,4 to 6,3 min,Back (Lat Pulldown),Upper,6
2. Seated Cable Row,1,6 to 8,4 to 6,3 min,Back (Back Row),Upper,6
3. Incline DB Bench,1,6 to 8,4 to 6,3 min,Chest (Incline Press),Upper,6
4. Chest Fly Machine,2,8 to 12,4 to 6,3 min,Chest (Fly),Upper,6
5. Single arm cable lateral,2,10 to 15,4 to 6,2 min,Shoulder (Medial Delt),Upper,6
6. Tricep Rope Pushdow,2,10 to 15,4 to 6,2 min,Triceps,Upper,6
